doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
course-registration-03,data/k3_university/course-registration-03.md,Kế hoạch mở đăng ký lớp kỳ 1 năm học 2026-2027 (kỳ 2026.1),https://ctt.hust.edu.vn/DisplayWeb/DisplayKehoach?kehoach=29240,2026-08-03,2026.1,public-page
course-registration-04,data/k3_university/course-registration-04.md,Quy chế đào tạo đại học - Quy định về đăng ký học tập,https://ctt.hust.edu.vn/Upload/Nguy%E1%BB%85n%20Qu%E1%BB%91c%20%C4%90%E1%BA%A1t/files/DTDH_QDQC/Hoctap/QCDT_2025_5445_QD-DHBK.pdf,2026-08-03,5445/QĐ-ĐHBK,public-page
course-registration-07,data/k3_university/course-registration-07.md,Quy chế đào tạo 2025 - quy định đăng ký học tập chương trình đại học,https://ctt.hust.edu.vn/Upload/Nguy%E1%BB%85n%20Qu%E1%BB%91c%20%C4%90%E1%BA%A1t/files/DTDH_QDQC/Hoctap/QCDT_2025_5445_QD-DHBK.pdf,2026-08-03,2025-05,public-page
course-registration-08,data/k3_university/course-registration-08.md,Hướng dẫn và biểu mẫu hỗ trợ đăng ký học tập cho sinh viên SoICT,https://soict.hust.edu.vn/bieu-mau-va-quy-dinh-danh-cho-sinh-vien.html,2026-08-03,2026-01-30,public-page
hust-course-registration-info,data/k3_university/hust-course-registration-info.md,Thông báo kế hoạch mở đăng ký lớp học kỳ 1 năm học 2026-2027,https://ctt.hust.edu.vn/DisplayWeb/DisplayBaiViet?baiviet=50623,2026-08-03,not-stated,public-page
hust-course-registration-schedule,data/k3_university/hust-course-registration-schedule.md,Kế hoạch đăng ký học kỳ 2026-2027,https://ctt.hust.edu.vn/DisplayWeb/DisplayKehoach?kehoach=27232,2026-08-03,not-stated,public-page
